degree,model,seed,acc
0.9708333333333333,mlp,0,0.9799999594688416
0.9708333333333333,gcn,0,0.9199999570846558
0.9708333333333333,sage,0,0.8999999761581421
0.9708333333333333,gat,0,0.9099999666213989
0.9708333333333333,gin,0,0.8499999642372131
1.1083333333333334,mlp,1,0.8949999809265137
1.1083333333333334,gcn,1,0.8700000047683716
1.1083333333333334,sage,1,0.8849999904632568
1.1083333333333334,gat,1,0.8849999904632568
1.1083333333333334,gin,1,0.85999995470047
1.0416666666666667,mlp,2,0.9249999523162842
1.0416666666666667,gcn,2,0.9149999618530273
1.0416666666666667,sage,2,0.9399999976158142
1.0416666666666667,gat,2,0.8700000047683716
1.0416666666666667,gin,2,0.8449999690055847
1.9041666666666666,mlp,0,0.9799999594688416
1.9041666666666666,gcn,0,0.9350000023841858
1.9041666666666666,sage,0,0.9300000071525574
1.9041666666666666,gat,0,0.9049999713897705
1.9041666666666666,gin,0,0.8849999904632568
2.075,mlp,1,0.8949999809265137
2.075,gcn,1,0.9049999713897705
2.075,sage,1,0.8999999761581421
2.075,gat,1,0.875
2.075,gin,1,0.8849999904632568
1.9583333333333333,mlp,2,0.9249999523162842
1.9583333333333333,gcn,2,0.8999999761581421
1.9583333333333333,sage,2,0.8899999856948853
1.9583333333333333,gat,2,0.9099999666213989
1.9583333333333333,gin,2,0.8700000047683716
2.9208333333333334,mlp,0,0.9799999594688416
2.9208333333333334,gcn,0,0.9399999976158142
2.9208333333333334,sage,0,0.949999988079071
2.9208333333333334,gat,0,0.9649999737739563
2.9208333333333334,gin,0,0.9300000071525574
3.0791666666666666,mlp,1,0.8949999809265137
3.0791666666666666,gcn,1,0.9099999666213989
3.0791666666666666,sage,1,0.9300000071525574
3.0791666666666666,gat,1,0.9099999666213989
3.0791666666666666,gin,1,0.8999999761581421
3.0,mlp,2,0.9249999523162842
3.0,gcn,2,0.9099999666213989
3.0,sage,2,0.9149999618530273
3.0,gat,2,0.8549999594688416
3.0,gin,2,0.8650000095367432
5.05,mlp,0,0.9799999594688416
5.05,gcn,0,0.9749999642372131
5.05,sage,0,0.9799999594688416
5.05,gat,0,0.9449999928474426
5.05,gin,0,0.9549999833106995
5.229166666666667,mlp,1,0.8949999809265137
5.229166666666667,gcn,1,0.9449999928474426
5.229166666666667,sage,1,0.9549999833106995
5.229166666666667,gat,1,0.9350000023841858
5.229166666666667,gin,1,0.9300000071525574
5.025,mlp,2,0.9249999523162842
5.025,gcn,2,0.9649999737739563
5.025,sage,2,0.9699999690055847
5.025,gat,2,0.9549999833106995
5.025,gin,2,0.9449999928474426
8.1125,mlp,0,0.9799999594688416
8.1125,gcn,0,0.9899999499320984
8.1125,sage,0,1.0
8.1125,gat,0,0.9950000047683716
8.1125,gin,0,0.98499995470047
8.133333333333333,mlp,1,0.8949999809265137
8.133333333333333,gcn,1,0.9950000047683716
8.133333333333333,sage,1,0.9899999499320984
8.133333333333333,gat,1,0.9749999642372131
8.133333333333333,gin,1,0.98499995470047
8.033333333333333,mlp,2,0.9249999523162842
8.033333333333333,gcn,2,0.98499995470047
8.033333333333333,sage,2,0.9899999499320984
8.033333333333333,gat,2,0.9899999499320984
8.033333333333333,gin,2,0.98499995470047
11.8625,mlp,0,0.9799999594688416
11.8625,gcn,0,0.9950000047683716
11.8625,sage,0,1.0
11.8625,gat,0,0.9899999499320984
11.8625,gin,0,0.9899999499320984
12.229166666666666,mlp,1,0.8949999809265137
12.229166666666666,gcn,1,1.0
12.229166666666666,sage,1,1.0
12.229166666666666,gat,1,0.9950000047683716
12.229166666666666,gin,1,1.0
12.058333333333334,mlp,2,0.9249999523162842
12.058333333333334,gcn,2,0.9950000047683716
12.058333333333334,sage,2,1.0
12.058333333333334,gat,2,0.9950000047683716
12.058333333333334,gin,2,0.9950000047683716
17.941666666666666,mlp,0,0.9799999594688416
17.941666666666666,gcn,0,1.0
17.941666666666666,sage,0,1.0
17.941666666666666,gat,0,1.0
17.941666666666666,gin,0,1.0
18.170833333333334,mlp,1,0.8949999809265137
18.170833333333334,gcn,1,1.0
18.170833333333334,sage,1,1.0
18.170833333333334,gat,1,1.0
18.170833333333334,gin,1,1.0
17.866666666666667,mlp,2,0.9249999523162842
17.866666666666667,gcn,2,1.0
17.866666666666667,sage,2,1.0
17.866666666666667,gat,2,1.0
17.866666666666667,gin,2,1.0
25.808333333333334,mlp,0,0.9799999594688416
25.808333333333334,gcn,0,1.0
25.808333333333334,sage,0,1.0
25.808333333333334,gat,0,1.0
25.808333333333334,gin,0,1.0
26.133333333333333,mlp,1,0.8949999809265137
26.133333333333333,gcn,1,1.0
26.133333333333333,sage,1,1.0
26.133333333333333,gat,1,1.0
26.133333333333333,gin,1,1.0
25.983333333333334,mlp,2,0.9249999523162842
25.983333333333334,gcn,2,1.0
25.983333333333334,sage,2,1.0
25.983333333333334,gat,2,1.0
25.983333333333334,gin,2,1.0
39.80416666666667,mlp,0,0.9799999594688416
39.80416666666667,gcn,0,1.0
39.80416666666667,sage,0,1.0
39.80416666666667,gat,0,1.0
39.80416666666667,gin,0,1.0
39.87083333333333,mlp,1,0.8949999809265137
39.87083333333333,gcn,1,1.0
39.87083333333333,sage,1,1.0
39.87083333333333,gat,1,1.0
39.87083333333333,gin,1,1.0
40.3,mlp,2,0.9249999523162842
40.3,gcn,2,1.0
40.3,sage,2,1.0
40.3,gat,2,1.0
40.3,gin,2,1.0
