method,seed,acc,gap
baseline (sparse),0,0.949999988079071,0.10334924727971523
baseline (sparse),1,0.9549999833106995,0.11095119329576705
baseline (sparse),2,0.9449999928474426,0.10339289677232143
random +edges,0,0.9449999928474426,0.12435428371723918
random +edges,1,0.9350000023841858,0.13574171579210692
random +edges,2,0.9249999523162842,0.11423063616666448
curvature (SDRF),0,0.9449999928474426,0.10538093708089806
curvature (SDRF),1,0.9449999928474426,0.11795143585489438
curvature (SDRF),2,0.9199999570846558,0.11558970507033582
eff. resistance,0,0.9449999928474426,0.10334924727971605
eff. resistance,1,0.949999988079071,0.11097756034148162
eff. resistance,2,0.9350000023841858,0.10368815995973565
virtual node,0,0.9599999785423279,0.280914769417908
virtual node,1,0.9449999928474426,0.27561087030437714
virtual node,2,0.9449999928474426,0.2831813196390293
