regime,degree,model,seed,acc
homophilous (p_in>>p_out),3.2,gcn,0,0.9899999499320984
homophilous (p_in>>p_out),3.2,sage,0,0.9899999499320984
homophilous (p_in>>p_out),3.2,gat,0,0.9799999594688416
homophilous (p_in>>p_out),3.2,gin,0,0.9799999594688416
homophilous (p_in>>p_out),3.175,gcn,1,0.9899999499320984
homophilous (p_in>>p_out),3.175,sage,1,1.0
homophilous (p_in>>p_out),3.175,gat,1,0.9899999499320984
homophilous (p_in>>p_out),3.175,gin,1,0.9799999594688416
homophilous (p_in>>p_out),3.0166666666666666,gcn,2,0.9799999594688416
homophilous (p_in>>p_out),3.0166666666666666,sage,2,0.9899999499320984
homophilous (p_in>>p_out),3.0166666666666666,gat,2,0.9699999690055847
homophilous (p_in>>p_out),3.0166666666666666,gin,2,0.9799999594688416
homophilous (p_in>>p_out),6.45,gcn,0,1.0
homophilous (p_in>>p_out),6.45,sage,0,1.0
homophilous (p_in>>p_out),6.45,gat,0,1.0
homophilous (p_in>>p_out),6.45,gin,0,1.0
homophilous (p_in>>p_out),6.2,gcn,1,1.0
homophilous (p_in>>p_out),6.2,sage,1,1.0
homophilous (p_in>>p_out),6.2,gat,1,1.0
homophilous (p_in>>p_out),6.2,gin,1,1.0
homophilous (p_in>>p_out),6.133333333333334,gcn,2,1.0
homophilous (p_in>>p_out),6.133333333333334,sage,2,0.9899999499320984
homophilous (p_in>>p_out),6.133333333333334,gat,2,0.9899999499320984
homophilous (p_in>>p_out),6.133333333333334,gin,2,0.9899999499320984
homophilous (p_in>>p_out),10.25,gcn,0,1.0
homophilous (p_in>>p_out),10.25,sage,0,1.0
homophilous (p_in>>p_out),10.25,gat,0,1.0
homophilous (p_in>>p_out),10.25,gin,0,1.0
homophilous (p_in>>p_out),10.225,gcn,1,1.0
homophilous (p_in>>p_out),10.225,sage,1,1.0
homophilous (p_in>>p_out),10.225,gat,1,1.0
homophilous (p_in>>p_out),10.225,gin,1,1.0
homophilous (p_in>>p_out),10.075,gcn,2,1.0
homophilous (p_in>>p_out),10.075,sage,2,1.0
homophilous (p_in>>p_out),10.075,gat,2,1.0
homophilous (p_in>>p_out),10.075,gin,2,1.0
homophilous (p_in>>p_out),16.341666666666665,gcn,0,1.0
homophilous (p_in>>p_out),16.341666666666665,sage,0,1.0
homophilous (p_in>>p_out),16.341666666666665,gat,0,1.0
homophilous (p_in>>p_out),16.341666666666665,gin,0,1.0
homophilous (p_in>>p_out),16.141666666666666,gcn,1,1.0
homophilous (p_in>>p_out),16.141666666666666,sage,1,1.0
homophilous (p_in>>p_out),16.141666666666666,gat,1,1.0
homophilous (p_in>>p_out),16.141666666666666,gin,1,1.0
homophilous (p_in>>p_out),16.2,gcn,2,1.0
homophilous (p_in>>p_out),16.2,sage,2,1.0
homophilous (p_in>>p_out),16.2,gat,2,1.0
homophilous (p_in>>p_out),16.2,gin,2,1.0
homophilous (p_in>>p_out),23.908333333333335,gcn,0,1.0
homophilous (p_in>>p_out),23.908333333333335,sage,0,1.0
homophilous (p_in>>p_out),23.908333333333335,gat,0,1.0
homophilous (p_in>>p_out),23.908333333333335,gin,0,1.0
homophilous (p_in>>p_out),24.375,gcn,1,1.0
homophilous (p_in>>p_out),24.375,sage,1,1.0
homophilous (p_in>>p_out),24.375,gat,1,1.0
homophilous (p_in>>p_out),24.375,gin,1,1.0
homophilous (p_in>>p_out),23.941666666666666,gcn,2,1.0
homophilous (p_in>>p_out),23.941666666666666,sage,2,1.0
homophilous (p_in>>p_out),23.941666666666666,gat,2,1.0
homophilous (p_in>>p_out),23.941666666666666,gin,2,1.0
heterophilous (p_out>>p_in),2.85,gcn,0,0.8999999761581421
heterophilous (p_out>>p_in),2.85,sage,0,0.9899999499320984
heterophilous (p_out>>p_in),2.85,gat,0,0.9300000071525574
heterophilous (p_out>>p_in),2.85,gin,0,0.8999999761581421
heterophilous (p_out>>p_in),2.966666666666667,gcn,1,0.7199999690055847
heterophilous (p_out>>p_in),2.966666666666667,sage,1,0.9699999690055847
heterophilous (p_out>>p_in),2.966666666666667,gat,1,0.7999999523162842
heterophilous (p_out>>p_in),2.966666666666667,gin,1,0.7599999904632568
heterophilous (p_out>>p_in),2.975,gcn,2,0.7699999809265137
heterophilous (p_out>>p_in),2.975,sage,2,0.9799999594688416
heterophilous (p_out>>p_in),2.975,gat,2,0.8799999952316284
heterophilous (p_out>>p_in),2.975,gin,2,0.85999995470047
heterophilous (p_out>>p_in),5.891666666666667,gcn,0,0.9899999499320984
heterophilous (p_out>>p_in),5.891666666666667,sage,0,0.9799999594688416
heterophilous (p_out>>p_in),5.891666666666667,gat,0,0.9799999594688416
heterophilous (p_out>>p_in),5.891666666666667,gin,0,0.9599999785423279
heterophilous (p_out>>p_in),6.033333333333333,gcn,1,0.949999988079071
heterophilous (p_out>>p_in),6.033333333333333,sage,1,1.0
heterophilous (p_out>>p_in),6.033333333333333,gat,1,0.949999988079071
heterophilous (p_out>>p_in),6.033333333333333,gin,1,0.949999988079071
heterophilous (p_out>>p_in),5.9,gcn,2,0.949999988079071
heterophilous (p_out>>p_in),5.9,sage,2,0.9899999499320984
heterophilous (p_out>>p_in),5.9,gat,2,0.9099999666213989
heterophilous (p_out>>p_in),5.9,gin,2,0.9399999976158142
heterophilous (p_out>>p_in),9.75,gcn,0,1.0
heterophilous (p_out>>p_in),9.75,sage,0,1.0
heterophilous (p_out>>p_in),9.75,gat,0,0.9899999499320984
heterophilous (p_out>>p_in),9.75,gin,0,1.0
heterophilous (p_out>>p_in),9.791666666666666,gcn,1,1.0
heterophilous (p_out>>p_in),9.791666666666666,sage,1,0.9899999499320984
heterophilous (p_out>>p_in),9.791666666666666,gat,1,1.0
heterophilous (p_out>>p_in),9.791666666666666,gin,1,1.0
heterophilous (p_out>>p_in),9.933333333333334,gcn,2,1.0
heterophilous (p_out>>p_in),9.933333333333334,sage,2,1.0
heterophilous (p_out>>p_in),9.933333333333334,gat,2,0.9699999690055847
heterophilous (p_out>>p_in),9.933333333333334,gin,2,1.0
heterophilous (p_out>>p_in),16.166666666666668,gcn,0,1.0
heterophilous (p_out>>p_in),16.166666666666668,sage,0,1.0
heterophilous (p_out>>p_in),16.166666666666668,gat,0,1.0
heterophilous (p_out>>p_in),16.166666666666668,gin,0,1.0
heterophilous (p_out>>p_in),15.708333333333334,gcn,1,1.0
heterophilous (p_out>>p_in),15.708333333333334,sage,1,1.0
heterophilous (p_out>>p_in),15.708333333333334,gat,1,1.0
heterophilous (p_out>>p_in),15.708333333333334,gin,1,1.0
heterophilous (p_out>>p_in),16.091666666666665,gcn,2,1.0
heterophilous (p_out>>p_in),16.091666666666665,sage,2,1.0
heterophilous (p_out>>p_in),16.091666666666665,gat,2,1.0
heterophilous (p_out>>p_in),16.091666666666665,gin,2,1.0
heterophilous (p_out>>p_in),24.25,gcn,0,1.0
heterophilous (p_out>>p_in),24.25,sage,0,1.0
heterophilous (p_out>>p_in),24.25,gat,0,1.0
heterophilous (p_out>>p_in),24.25,gin,0,1.0
heterophilous (p_out>>p_in),23.541666666666668,gcn,1,1.0
heterophilous (p_out>>p_in),23.541666666666668,sage,1,1.0
heterophilous (p_out>>p_in),23.541666666666668,gat,1,1.0
heterophilous (p_out>>p_in),23.541666666666668,gin,1,1.0
heterophilous (p_out>>p_in),23.916666666666668,gcn,2,1.0
heterophilous (p_out>>p_in),23.916666666666668,sage,2,1.0
heterophilous (p_out>>p_in),23.916666666666668,gat,2,1.0
heterophilous (p_out>>p_in),23.916666666666668,gin,2,1.0
