model,rel_edges,op,test_mean,test_std
gcn,0.10,keep,0.6257,0.0109
gcn,0.25,keep,0.6843,0.0137
gcn,0.50,keep,0.7473,0.0053
gcn,0.75,keep,0.7830,0.0075
gcn,1.00,keep,0.8167,0.0026
gcn,1.50,add,0.7373,0.0208
gcn,2.00,add,0.6903,0.0025
gcn,3.00,add,0.6220,0.0086
sage,0.10,keep,0.5910,0.0157
sage,0.25,keep,0.6420,0.0037
sage,0.50,keep,0.6877,0.0062
sage,0.75,keep,0.7473,0.0037
sage,1.00,keep,0.7973,0.0078
sage,1.50,add,0.7480,0.0064
sage,2.00,add,0.7077,0.0076
sage,3.00,add,0.6727,0.0123
gat,0.10,keep,0.6307,0.0198
gat,0.25,keep,0.6593,0.0216
gat,0.50,keep,0.6997,0.0049
gat,0.75,keep,0.7067,0.0160
gat,1.00,keep,0.7213,0.0170
gat,1.50,add,0.5247,0.0713
gat,2.00,add,0.4157,0.0746
gat,3.00,add,0.3443,0.0260
gin,0.10,keep,0.4367,0.0470
gin,0.25,keep,0.5153,0.0360
gin,0.50,keep,0.6330,0.0093
gin,0.75,keep,0.6837,0.0224
gin,1.00,keep,0.7430,0.0113
gin,1.50,add,0.5773,0.0267
gin,2.00,add,0.5140,0.0201
gin,3.00,add,0.4257,0.0830
